title,url,img,ingredients
Creamed Kale,https://www.budgetbytes.com/creamed-kale/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['bunches kale*', 'salt, divided', 'salted butter', 'yellow onion, julienned (thinly sliced)', 'clove garlic, minced', 'red pepper flakes', 'nutmeg', ""half 'n half, room temperature"", 'Parmesan cheese']"
"Pear, Celery and Pecan Salad",https://www.budgetbytes.com/pear-celery-and-pecan-salad/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['candied pecans, chopped*', 'celery, diced', 'red onion, julienned (finely sliced)', 'pears, sliced thin', 'lemon juice', 'bag mixed greens', 'shredded Parmesan']"
Creamed Corn,https://www.budgetbytes.com/creamed-corn/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['of corn (or 4 cups of frozen corn)', 'salted butter', 'flour', 'half & half', 'sugar', 'salt', 'freshly cracked black pepper', 'shredded parmesan cheese']"
Candied Yams,https://www.budgetbytes.com/candied-yams/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['sweet potatoes (about 4 medium sweet potatoes)', 'butter', 'dark brown sugar', 'granulated white sugar', 'cinnamon', 'nutmeg', 'salt', 'vanilla extract', 'orange, juiced']"
Apple Crumble,https://www.budgetbytes.com/apple-crumble/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['salted butter, chilled and diced (½ Tbsp reserved to butter your dish)', 'all-purpose flour', 'light brown sugar', 'salt', 'pumpkin pie spice or apple pie spice']"
Roasted Turkey Breast Recipe,https://www.budgetbytes.com/roasted-turkey-breast-recipe/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['butter, room temperature', 'cloves of garlic, pressed', 'salt', 'freshly cracked black pepper', 'fresh rosemary, chopped*', 'dried thyme', 'dried sage', 'bone-in turkey breast (skin on)**']"
Stuffed Butternut Squash,https://www.budgetbytes.com/stuffed-butternut-squash/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['butternut squash (about 2 lbs each)', 'olive oil', 'yellow onion, diced (about 1 cup)', 'celery, diced (about 1 cup)', 'salt', 'chili flakes', 'poultry seasoning', 'freshly cracked black pepper', 'ground mild Italian sausage', 'spinach', 'shredded cheddar, divided']"
Turkey Breast Brine,https://www.budgetbytes.com/turkey-breast-brine/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['cold water (16 cups), divided', 'kosher salt', 'white sugar', 'bay leaves', 'fresh rosemary sprigs', 'cloves of garlic, smashed', 'whole peppercorns', 'lemon', 'bone-in turkey breast']"
Shaved Brussels Sprouts Salad,https://www.budgetbytes.com/shaved-brussels-sprouts-salad/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['Brussels sprouts (1lb)', 'Dijon mustard', 'honey', 'apple cider vinegar', 'olive oil', 'garlic, minced', 'salt', 'craisins', 'crushed pecans', 'freshly cracked black pepper']"
Pear Galette,https://www.budgetbytes.com/pear-galette/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['pears, cored and quartered*', 'granulated sugar', 'brown sugar', 'lemon juice', 'cinnamon', 'ground ginger', 'of salt', 'pre-made pie dough', ""dried cranberries or ''craisins''"", 'milk, for the crust', 'turbinado sugar, for the crust']"
Twice Baked Sweet Potatoes,https://www.budgetbytes.com/twice-baked-sweet-potatoes/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['sweet potatoes (about 3lbs. total)', 'butter, room temp', 'brown sugar', 'salt', 'cinnamon', 'nutmeg', 'vanilla extract']"
Baked Mostaccioli,https://www.budgetbytes.com/baked-mostaccioli/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['mostaccioli pasta', 'cooking oil', 'mild Italian sausage', 'small yellow onion, diced', 'cloves of garlic, minced', 'Italian seasoning', 'garlic powder', 'salt', 'freshly cracked black pepper', 'tomato paste', 'can crushed tomatoes', 'can diced tomatoes', 'sugar']"
Peanut Butter Pie,https://www.budgetbytes.com/peanut-butter-pie/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['Oreos*', 'salted butter, diced']"
Crockpot Mac And Cheese,https://www.budgetbytes.com/crockpot-mac-and-cheese/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['shredded sharp cheddar cheese, divided', 'shredded white sharp cheddar cheese', 'elbow macaroni', 'butter, cut into small cubes', 'half & half', 'can evaporated milk', ""Tony chachere's"", 'salt', 'freshly cracked black pepper', 'non-stick cooking spray']"
Roasted Acorn Squash,https://www.budgetbytes.com/roasted-acorn-squash/,https://www.budgetbytes.com/wp-content/uploads/2024/10/Acorn-Squash-Overhead-268x200.jpg,"['olive oil', 'salt', 'freshly cracked black pepper', 'poultry seasoning', 'garlic, minced', 'brown sugar', 'cinnamon', 'raisins (any color), divided ', 'acorn squash', 'fresh parsley, minced']"
Pumpkin Brownies,https://www.budgetbytes.com/pumpkin-brownies/,https://www.budgetbytes.com/wp-content/uploads/2024/10/Pumpkin-Brownies-Plated-268x200.jpg,"['flour', 'cinnamon', 'salt', 'salted butter, melted but not hot', 'vegetable oil', 'granulated sugar', 'light brown sugar', 'cocoa powder', 'eggs', 'vanilla extract', 'pumpkin purée', 'chocolate chips, divided', 'cooking spray']"
Shakshuka,https://www.budgetbytes.com/shakshuka/,https://www.budgetbytes.com/wp-content/uploads/2024/10/Shakshuka-Overhead-268x200.jpg,"['olive oil', 'large yellow onion, diced', 'red bell pepper, diced', 'jalapeño, seeded and diced', 'ribs celery, diced', 'salt', 'smoked paprika', 'cardamom', 'cinnamon', 'cayenne pepper', 'oregano', 'cumin', 'freshly cracked black pepper', 'cloves garlic, minced', '14.5 oz can fire roasted diced tomatoes, with juices*', 'tomato paste', 'lemon, zested + 1 Tbsp juice', 'sugar', 'water, as needed', 'eggs (optional)** (see note)', 'fresh parsley for garnish']"
Lasagna Soup,https://www.budgetbytes.com/lasagna-soup/,https://www.budgetbytes.com/wp-content/uploads/2024/06/Lasagna-Soup-Spoon-268x200.jpg,"['cooking oil', 'Italian sausage', 'yellow onion, diced', 'red bell pepper, diced', 'cloves of garlic, minced', 'tomato paste', 'can crushed tomatoes', 'can diced tomatoes', 'Italian seasoning', 'salt', 'freshly cracked black pepper', 'sugar', 'red pepper flakes', 'chicken broth', 'lasagna noodles']"
Pumpkin Butter,https://www.budgetbytes.com/pumpkin-butter/,https://www.budgetbytes.com/wp-content/uploads/2024/09/Pumpkin-Butter-Side-268x200.jpg,"['brown sugar', '29 oz can pumpkin purée*', 'maple syrup', 'apple juice**', 'lemon juice', 'pumpkin pie spice', 'cinnamon', 'sea salt', 'vanilla extract']"
Sweet Potato Black Bean Skillet,https://www.budgetbytes.com/sweet-potato-black-bean-skillet/,https://www.budgetbytes.com/wp-content/uploads/2024/10/Sweet-Potato-Black-Bean-Skillet-Close-2-268x200.jpg,"['sweet potatoes (about 2 medium)', 'red bell pepper, diced', 'small yellow onion, diced', 'olive oil', 'chili powder', 'cumin', 'garlic powder', 'salt', 'freshly cracked black pepper', 'smoked paprika', 'can black beans, drained', 'can petite diced tomatoes', 'chopped kale', 'fresh chopped cilantro']"
Pot Roast,https://www.budgetbytes.com/pot-roast/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['boneless beef chuck roast (mine was 2.61 lbs)', 'salt', 'beef bouillon', 'balsamic vinegar', 'Worcestershire sauce', 'tomato paste', 'water', 'olive oil', 'large carrots, peeled and cut into large chunks', 'large yellow onion, peeled and quartered', 'fresh rosemary', 'of fresh thyme', 'cloves garlic, smashed, but kept whole', 'bag mini potatoes (about 1lb – 1.5 lbs depending on the size of your roasting dish)']"
Canadian Butter Tarts,https://www.budgetbytes.com/canadian-butter-tarts/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['brown sugar, packed', 'white sugar', 'salt', 'light corn syrup', 'salted butter, melted', 'eggs', 'white vinegar', 'vanilla extract', ""9'' premade pie crust, thawed"", 'cooking spray', 'raisins', 'pecans']"
Roasted Butternut Squash,https://www.budgetbytes.com/roasted-butternut-squash/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['butternut squash (mine was 2 lbs and 15 oz)', 'oil', 'salt', 'freshly cracked black pepper', 'garlic powder']"
Stuffed Shells With Ground Beef,https://www.budgetbytes.com/stuffed-shells-with-ground-beef/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['jumbo pasta shells (about 8 oz.)', 'cooking oil', 'ground beef chuck', 'yellow onion, diced', 'cloves of garlic, minced', 'marinara sauce', 'tomato paste', 'Italian seasoning', 'salt', 'garlic powder', 'freshly cracked black pepper', 'shredded mozzarella']"
Stuffed Mushrooms,https://www.budgetbytes.com/stuffed-mushrooms/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['salted butter', 'yellow onion, diced small', 'sprig rosemary', 'garlic cloves, minced', 'parsley, minced (reserve a pinch for garnishing)', 'crushed walnuts', '8 oz package of cream cheese', 'salt', 'freshly cracked black pepper', 'Italian breadcrumbs (or plain panko)', 'shredded Parmesan', 'sun dried tomatoes in oil, minced + 1 Tbsp oil, reserved*', 'fresh button mushrooms']"
Scrambled Eggs,https://www.budgetbytes.com/scrambled-eggs/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['large eggs', 'salt', ""half 'n half"", 'butter']"
Chicken Meatballs In Cream Sauce,https://www.budgetbytes.com/chicken-meatballs-in-cream-sauce/,https://www.budgetbytes.com/wp-content/uploads/2024/09/Chicken-Meatballs-in-Cream-Sauce-Overhead-268x200.jpg,"['plain breadcrumbs', 'Italian seasoning', 'garlic powder', 'onion powder', 'salt', 'freshly cracked black pepper', 'grated parmesan', 'ground chicken', 'large egg', 'Worcestershire sauce', 'cooking oil']"
Pumpkin Cookies,https://www.budgetbytes.com/pumpkin-cookies/,https://www.budgetbytes.com/wp-content/uploads/2024/09/Pumpkin-Cookies-Overhead-268x200.jpg,"['flour', 'baking powder', 'baking soda', 'pumpkin pie spice', 'salt (+pinch for sprinkling, optional)', 'unsalted butter, melted but not hot', 'brown sugar, packed*', 'vanilla extract', 'pumpkin puree, strained', 'hot water', 'egg', 'white chocolate chips', 'butterscotch chips']"
Philly Cheesesteak Recipe,https://www.budgetbytes.com/philly-cheesesteak-recipe/,https://www.budgetbytes.com/wp-content/uploads/2024/09/Philly-Cheesesteak-Overhead-268x200.jpg,"['baby bella mushrooms, sliced', 'green bell pepper', 'yellow onion', 'butter, divided', 'cooking oil, divided', 'shaved beef steak', 'salt', 'garlic powder', 'freshly cracked black pepper', 'Worcestershire sauce', 'hoagie rolls', 'slices provolone']"
Caramelized Onions,https://www.budgetbytes.com/caramelized-onions/,https://www.budgetbytes.com/wp-content/uploads/2024/09/Caramelized-Onions-Overhead-268x200.jpg,"['medium onions', 'olive oil', 'butter', 'salt']"
“Do Nothing” Cake,https://www.budgetbytes.com/do-nothing-cake/,https://www.budgetbytes.com/wp-content/uploads/2024/09/Do-Nothing-Cake-Side-268x200.jpg,"['sugar', 'flour', 'eggs', 'baking soda', 'vanilla', 'canned crushed pineapple, with juices', 'cooking spray']"
Air Fryer Baked Potatoes,https://www.budgetbytes.com/air-fryer-baked-potatoes/,https://www.budgetbytes.com/wp-content/uploads/2024/08/Air-Fryer-Baked-Potatoes-Basket-268x200.jpg,"['russet potatoes (1/2 lb. each)', 'olive oil', 'pinch of salt']"
White Bean Hummus,https://www.budgetbytes.com/white-bean-hummus/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['cans cannellini beans, strained and rinsed', 'tahini', 'olive oil', 'cloves garlic, crushed', 'lemon juice', 'salt', 'freshly cracked black pepper', 'cold water']"
